Dptstt,,Latitude,Longitude,normalized_latitude,normalized_longitude,id,path_id
上海,Shanghai,31.22222,121.45806,0.366521184,0.783707829,0,0_13
杭州,Hangzhou,30.25,120.166664,0.324127868,0.729736,13,0_13
杭州,Hangzhou,30.25,120.166664,0.324127868,0.729736,13,13_0
上海,Shanghai,31.22222,121.45806,0.366521184,0.783707829,0,13_0
上海,Shanghai,31.22222,121.45806,0.366521184,0.783707829,0,0_3
南京,Nanjing,32.008,118.771,0.400784849,0.671406456,3,0_3
南京,Nanjing,32.008,118.771,0.400784849,0.671406456,3,3_6
合肥,Hefei,31.848398,117.272362,0.393825459,0.608773279,6,3_6
合肥,Hefei,31.848398,117.272362,0.393825459,0.608773279,6,6_14
武汉,Wuhan,30.596069,114.297691,0.339218087,0.484451664,14,6_14
武汉,Wuhan,30.596069,114.297691,0.339218087,0.484451664,14,14_23
长沙,Changsha,28.228001,112.939003,0.235959302,0.427667473,23,14_23
长沙,Changsha,28.228001,112.939003,0.235959302,0.427667473,23,23_5
南昌,Nanchang,28.683332,115.883331,0.255813852,0.550720951,5,23_5
南昌,Nanchang,28.683332,115.883331,0.255813852,0.550720951,5,5_18
福州,Fuzhou,26.0753,119.308197,0.14209152,0.693857745,18,5_18
福州,Fuzhou,26.0753,119.308197,0.14209152,0.693857745,18,18_10
广州,Guangzhou,23.128994,113.25325,0.013618867,0.440800924,10,18_10
广州,Guangzhou,23.128994,113.25325,0.013618867,0.440800924,10,10_4
南宁,Nanning,22.816668,108.316666,0,0.234484294,4,10_4
南宁,Nanning,22.816668,108.316666,0,0.234484294,4,4_12
昆明,Kunming,25.043333,102.706108,0.097092956,0,12,4_12
昆明,Kunming,25.043333,102.706108,0.097092956,0,12,12_20
贵阳,Guiyang,26.646999,106.629997,0.167020257,0.163992662,20,12_20
贵阳,Guiyang,26.646999,106.629997,0.167020257,0.163992662,20,20_21
重庆,chongqing,29.5628,106.5528,0.29416275,0.160766337,21,20_21
重庆,chongqing,29.5628,106.5528,0.29416275,0.160766337,21,21_11
成都,Chengdu,30.657,104.066002,0.341874962,0.056834594,11,21_11
成都,Chengdu,30.657,104.066002,0.341874962,0.056834594,11,11_1
兰州,Lanzhou,36.054871,103.828812,0.577247257,0.046921617,1,11_1
兰州,Lanzhou,36.054871,103.828812,0.577247257,0.046921617,1,1_19
西安,Xi'an,34.341568,108.940178,0.502539273,0.260542981,19,1_19
西安,Xi'an,34.341568,108.940178,0.502539273,0.260542981,19,19_24
河南,Henan,34.74661,113.6253,0.52020099,0.456350158,24,19_24
河南,Henan,34.74661,113.6253,0.52020099,0.456350158,24,24_16
济南,Jinan,36.666668,116.98333,0.603924454,0.596693649,16,24_16
济南,Jinan,36.666668,116.98333,0.603924454,0.596693649,16,16_17
石家庄,Shijiazhuang,38.042805,114.514893,0.663930431,0.493529274,17,16_17
石家庄,Shijiazhuang,38.042805,114.514893,0.663930431,0.493529274,17,17_9
太原,Taiyuan,37.87146,112.551208,0.656458992,0.411460202,9,17_9
太原,Taiyuan,37.87146,112.551208,0.656458992,0.411460202,9,9_7
呼和浩特,Hohhot,40.81056,111.65222,0.784617429,0.373888437,7,9_7
呼和浩特,Hohhot,40.81056,111.65222,0.784617429,0.373888437,7,7_2
北京,Beijing,39.8595,116.3725,0.743146787,0.571164986,2,7_2
北京,Beijing,39.8595,116.3725,0.743146787,0.571164986,2,2_15
沈阳,Shenyang,41.799999,123.400002,0.827761574,0.864868188,15,2_15
沈阳,Shenyang,41.799999,123.400002,0.827761574,0.864868188,15,15_22
长春,Changchun,43.891262,125.331345,0.918950373,0.945585578,22,15_22
